Csengery+Keller 1987	8,73	9,65	11,89	6,66	13,78	44,16	5,14			Csengery+Keller 1987	3,59	5,14	4,35	5,30	4,67	7,22	6,66	1,41	12,37	5,03	9,09	14,42	15,62	4,56	0,57		
Csengery+Keller 1990	8,96	10,28	12,76	6,41	13,47	42,59	5,52			Csengery+Keller 1990	4,18	4,78	4,48	5,80	5,20	7,56	6,41	1,38	12,09	4,62	8,73	13,82	15,42	4,07	1,46		
Komsi+Oramo 1994	12,10	7,59	9,31	6,99	11,35	46,40	6,26			Komsi+Oramo 1994	6,50	5,60	3,40	4,19	4,23	5,08	6,99	2,01	9,35	5,02	10,02	12,81	18,55	5,02	1,24		
Komsi+Oramo 1995	10,51	8,69	10,46	7,94	10,56	47,83	4,02			Komsi+Oramo 1995	5,15	5,36	3,78	4,91	4,52	5,93	7,94	1,99	8,56	4,39	9,42	16,34	17,68	3,29	0,72		
Whittlesey+Sallaberger 1997	8,12	7,38	13,25	7,76	16,74	41,80	4,96			Whittlesey+Sallaberger 1997	3,96	4,15	2,88	4,49	4,80	8,44	7,76	2,10	14,64	5,24	8,58	13,60	14,38	4,38	0,58		
Pammer+Kopatchinskaja 2004	9,76	9,68	15,26	7,04	15,02	38,51	4,74			Pammer+Kopatchinskaja 2004	4,26	5,51	4,63	5,05	5,97	9,28	7,04	1,39	13,63	5,18	8,07	11,91	13,34	3,94	0,80		
Arnold+Pogossian 2004	9,67	10,06	13,69	8,21	12,59	40,80	4,97			Arnold+Pogossian 2004	4,49	5,18	4,23	5,83	5,67	8,02	8,21	1,61	10,98	5,10	7,34	12,27	16,09	4,46	0,52		
Banse+Keller 2005	8,75	8,72	11,81	6,40	12,39	45,80	6,14			Banse+Keller 2005	3,87	4,88	3,81	4,92	4,63	7,17	6,40	1,44	10,95	5,50	9,22	14,16	16,92	5,46	0,68		
Arnold+Pogossian 2006	8,00	9,50	13,78	7,57	13,89	42,10	5,16			Arnold+Pogossian 2006	3,73	4,27	4,05	5,45	6,00	7,78	7,57	1,67	12,23	4,37	7,87	11,47	18,38	4,01	1,15		
Melzer+Stark 2012	10,55	9,07	12,44	6,93	15,12	39,87	6,02			Melzer+Stark 2012	5,18	5,37	4,00	5,07	5,14	7,30	6,93	2,23	12,90	4,67	6,74	13,11	15,35	3,79	2,23		
Melzer+Stark 2013	10,65	9,13	12,88	6,26	14,01	41,14	5,92			Melzer+Stark 2013	4,66	5,99	3,88	5,25	5,57	7,31	6,26	2,09	11,92	4,70	6,35	14,24	15,86	5,01	0,90		
Kammer+Widmann 2017	9,49	10,41	14,02	6,81	13,34	41,90	4,03			Kammer+Widmann 2017	4,73	4,76	5,15	5,27	6,43	7,58	6,81	1,81	11,53	6,07	9,48	12,09	14,26	2,95	1,08		
Melzer+Stark 2017	9,55	9,46	11,97	6,25	13,74	40,19	8,85			Melzer+Stark 2017	4,54	5,01	3,97	5,48	5,01	6,96	6,25	2,03	11,71	4,47	6,00	12,48	17,25	7,29	1,56		
Melzer+Stark 2019	9,01	9,72	12,54	6,07	14,94	41,54	6,18			Melzer+Stark 2019	4,81	4,20	4,11	5,61	4,99	7,55	6,07	2,08	12,85	4,39	6,38	14,70	16,08	4,45	1,73		
mean 14	9,56	9,24	12,57	6,95	13,64	42,47	5,56			mean 14	4,55	5,01	4,05	5,19	5,20	7,37	6,95	1,80	11,84	4,91	8,09	13,39	16,08	4,48	1,09		
score	8,26	9,63	13,76	13,30	12,84	36,24	5,96			score	4,13	4,13	4,13	5,50	5,96	7,80	13,30	1,83	11,01	5,50	8,72	10,55	11,47	5,50	0,46		
min 14	8,00	7,38	9,31	6,07	10,56	38,51	4,02			min 14	3,59	4,15	2,88	4,19	4,23	5,08	6,07	1,38	8,56	4,37	6,00	11,47	13,34	2,95	0,52		
max 14	12,10	10,41	15,26	8,21	16,74	47,83	8,85			max 14	6,50	5,99	5,15	5,83	6,43	9,28	8,21	2,23	14,64	6,07	10,02	16,34	18,55	7,29	2,23		
abs stdv 14	1,11	0,91	1,50	0,68	1,60	2,66	1,20			abs stdv 14	0,75	0,55	0,54	0,47	0,64	1,00	0,68	0,31	1,58	0,49	1,33	1,33	1,54	1,05	0,51		
perc sec 8	1	2	3	4	5	6	7			perc seg 8	1a	1b	2a	2b	3a	3b	4	5a	5b	6a	6b	6c	6d	7a	7b		
Csengery+Keller 1990	8,96	10,28	12,76	6,41	13,47	42,59	5,52			Csengery+Keller 1990	4,18	4,78	4,48	5,80	5,20	7,56	6,41	1,38	12,09	4,62	8,73	13,82	15,42	4,07	1,46		
Komsi+Oramo 1995	10,51	8,69	10,46	7,94	10,56	47,83	4,02			Komsi+Oramo 1995	5,15	5,36	3,78	4,91	4,52	5,93	7,94	1,99	8,56	4,39	9,42	16,34	17,68	3,29	0,72		
Whittlesey+Sallaberger 1997	8,12	7,38	13,25	7,76	16,74	41,80	4,96			Whittlesey+Sallaberger 1997	3,96	4,15	2,88	4,49	4,80	8,44	7,76	2,10	14,64	5,24	8,58	13,60	14,38	4,38	0,58		
Pammer+Kopatchinskaja 2004	9,76	9,68	15,26	7,04	15,02	38,51	4,74			Pammer+Kopatchinskaja 2004	4,26	5,51	4,63	5,05	5,97	9,28	7,04	1,39	13,63	5,18	8,07	11,91	13,34	3,94	0,80		
Arnold+Pogossian 2004	9,67	10,06	13,69	8,21	12,59	40,80	4,97			Arnold+Pogossian 2004	4,49	5,18	4,23	5,83	5,67	8,02	8,21	1,61	10,98	5,10	7,34	12,27	16,09	4,46	0,52		
Banse+Keller 2005	8,75	8,72	11,81	6,40	12,39	45,80	6,14			Banse+Keller 2005	3,87	4,88	3,81	4,92	4,63	7,17	6,40	1,44	10,95	5,50	9,22	14,16	16,92	5,46	0,68		
Melzer+Stark 2012	10,55	9,07	12,44	6,93	15,12	39,87	6,02			Melzer+Stark 2012	5,18	5,37	4,00	5,07	5,14	7,30	6,93	2,23	12,90	4,67	6,74	13,11	15,35	3,79	2,23		
Kammer+Widmann 2017	9,49	10,41	14,02	6,81	13,34	41,90	4,03			Kammer+Widmann 2017	4,73	4,76	5,15	5,27	6,43	7,58	6,81	1,81	11,53	6,07	9,48	12,09	14,26	2,95	1,08		
mean 8	9,48	9,29	12,96	7,19	13,65	42,39	5,05			mean 8	4,48	5,00	4,12	5,17	5,30	7,66	7,19	1,74	11,91	5,10	8,45	13,41	15,43	4,04	1,01		
score	8,26	9,63	13,76	13,30	12,84	36,24	5,96			score	4,13	4,13	4,13	5,50	5,96	7,80	13,30	1,83	11,01	5,50	8,72	10,55	11,47	5,50	0,46		
min 8	8,12	7,38	10,46	6,40	10,56	38,51	4,02			min 8	3,87	4,15	2,88	4,49	4,52	5,93	6,40	1,38	8,56	4,39	6,74	11,91	13,34	2,95	0,52		
max 8	10,55	10,41	15,26	8,21	16,74	47,83	6,14			max 8	5,18	5,51	5,15	5,83	6,43	9,28	8,21	2,23	14,64	6,07	9,48	16,34	17,68	5,46	2,23		
abs stdv 8 	0,84	1,03	1,46	0,70	1,93	3,07	0,81			abs stdv 8	0,50	0,45	0,68	0,46	0,68	0,98	0,70	0,34	1,87	0,54	1,00	1,45	1,44	0,77	0,58		
